s,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
3201,1.58018388,1.678593908,1.470526992,1.523949578,1.597054171,1.57456045,1.642041612,1.726393065,1.656100187,1.507079288,1.552066729,1.571748735,1.549255014,1.627983037,1.687029053,1.619547891,1.56331359,1.543631584,1.59143074,1.512702718,1.512702718,1.622359606,1.498644142,1.701087629,1.644853327,1.627983037,1.630794752,1.523949578,1.611112746,1.594242455
3301,1.660461284,1.57048555,1.575938625,1.540493638,1.567759012,1.622289761,1.505048652,1.554126325,1.425979067,1.660461284,1.551399788,1.545946713,1.592297849,1.540493638,1.668640897,1.64410206,1.578665162,1.63319591,1.595024387,1.630469373,1.597750924,1.676820509,1.665914359,1.584118237,1.671367434,1.657734747,1.5595794,1.581391699,1.562305938,1.608657074
3401,1.492551955,1.720139665,1.526954749,1.680444134,1.497844693,1.460795531,1.52430838,1.529601117,1.62751676,1.638102235,1.653980447,1.630163128,1.68838324,1.540186592,1.418453631,1.511076536,1.593113966,1.553418436,1.622224022,1.651334078,1.630163128,1.598406704,1.593113966,1.571943017,1.593113966,1.534893855,1.622224022,1.669858659,1.54547933,1.632809497
3501,1.583600343,1.545038646,1.668436075,1.550180206,1.516760069,1.529613967,1.591312682,1.671006855,1.632445159,1.663294516,1.604166581,1.6144497,1.640157498,1.596454242,1.61702048,1.539897087,1.606737361,1.467915253,1.557892545,1.596454242,1.532184747,1.601595801,1.606737361,1.570746444,1.645299057,1.627303599,1.668436075,1.647869837,1.61702048,1.581029563
3601,1.53962366,1.509630991,1.607107165,1.517129159,1.572115718,1.627102277,1.532125493,1.557119384,1.474639545,1.587112052,1.587112052,1.557119384,1.607107165,1.607107165,1.627102277,1.562118162,1.587112052,1.582113274,1.639599222,1.694585782,1.64709739,1.497134046,1.632101055,1.497134046,1.609606554,1.632101055,1.537124271,1.552120605,1.599608998,1.562118162
3701,1.544228722,1.602593272,1.668253391,1.624479978,1.619616266,1.59772956,1.541796866,1.658525966,1.575842853,1.583138422,1.626911835,1.563683572,1.592865847,1.646366685,1.641502972,1.595297703,1.595297703,1.524773872,1.590433991,1.570979141,1.634207403,1.595297703,1.631775547,1.702299379,1.619616266,1.505319022,1.609888841,1.646366685,1.626911835,1.629343691
3801,1.59121326,1.664617443,1.62909929,1.716710734,1.66698532,1.577005998,1.579373875,1.607788398,1.652778058,1.59121326,1.558062983,1.52254483,1.565166614,1.600684767,1.593581137,1.603052644,1.496498185,1.534384215,1.702503473,1.617259905,1.614892028,1.546223599,1.612524152,1.532016338,1.465715785,1.586477506,1.55332723,1.496498185,1.569902368,1.621995659
3901,1.497358293,1.596566932,1.649632017,1.591952576,1.520430069,1.444293207,1.525044425,1.624253063,1.57810951,1.497358293,1.580416688,1.430450141,1.513508536,1.555037734,1.589645399,1.624253063,1.513508536,1.645017662,1.550423379,1.520430069,1.518122892,1.603488464,1.566573622,1.541194668,1.564266445,1.582723866,1.548116201,1.571187977,1.561959267,1.508894181
4001,1.534167608,1.572409323,1.52741907,1.563411272,1.626397626,1.619649088,1.56116176,1.538666633,1.590405424,1.696132517,1.552163709,1.617399575,1.585906398,1.628647138,1.662389828,1.574658835,1.630896651,1.696132517,1.500424919,1.635395676,1.651142264,1.549914196,1.509422969,1.628647138,1.601652987,1.47568028,1.522920045,1.56116176,1.635395676,1.565660785
4101,1.593323043,1.540651207,1.624048281,1.547235187,1.580155084,1.602101683,1.615269642,1.626242941,1.560403146,1.50553665,1.509925969,1.560403146,1.580155084,1.556013826,1.665746818,1.49675801,1.670136138,1.628437601,1.575765764,1.593323043,1.466032772,1.529677908,1.577960424,1.577960424,1.617464301,1.643800219,1.577960424,1.538456547,1.529677908,1.584544404
4201,1.557538229,1.630380457,1.561823066,1.619668365,1.493265675,1.568250321,1.553253392,1.651804642,1.486838419,1.557538229,1.482553582,1.559680647,1.57039274,1.600386598,1.512547441,1.634665294,1.538256463,1.617525946,1.501835349,1.666801571,1.593959343,1.497550512,1.561823066,1.600386598,1.596101761,1.568250321,1.628238039,1.62609562,1.559680647,1.574677577
4301,1.519232225,1.609214299,1.588288235,1.529695257,1.651066426,1.531787863,1.611306905,1.538065682,1.521324831,1.617584724,1.546436108,1.586195629,1.519232225,1.64897382,1.502491374,1.632232969,1.623862544,1.571547384,1.663622065,1.613399512,1.605029086,1.715937224,1.546436108,1.621769937,1.692918554,1.638510788,1.538065682,1.632232969,1.609214299,1.489935736
4401,1.53992863,1.511297819,1.525613224,1.574694615,1.638091411,1.552198978,1.558334151,1.66876728,1.562424267,1.672857396,1.576739673,1.566514383,1.505162645,1.541973688,1.721938787,1.621730948,1.654451875,1.615595774,1.59923531,1.484712065,1.55015392,1.627866121,1.584919905,1.597190252,1.48062195,1.53992863,1.593100136,1.638091411,1.631956237,1.656496933
4501,1.503715974,1.559705399,1.571703133,1.547707665,1.649688403,1.615694823,1.521712575,1.593698978,1.52571182,1.67368387,1.557705776,1.623693313,1.539709176,1.541708798,1.645689158,1.617694446,1.567703888,1.599697845,1.503715974,1.561705021,1.565704266,1.585700489,1.56970351,1.60369709,1.557705776,1.645689158,1.533710309,1.637690669,1.601697467,1.657686892
4601,1.54928007,1.615789567,1.631438861,1.615789567,1.588403304,1.576666333,1.527762291,1.670562095,1.649044316,1.545367746,1.611877244,1.580578657,1.600140274,1.449515823,1.566885525,1.545367746,1.592315627,1.600140274,1.645131993,1.539499261,1.615789567,1.49255138,1.678386742,1.649044316,1.600140274,1.547323908,1.574710172,1.545367746,1.609921082,1.649044316
4701,1.546956477,1.635025782,1.550785578,1.725009636,1.667573133,1.60822208,1.525896426,1.629282131,1.522067326,1.568016528,1.564187428,1.638854882,1.569931078,1.531640077,1.562272878,1.627367581,1.60439298,1.541212827,1.516323676,1.522067326,1.566101978,1.60630753,1.589076579,1.566101978,1.577589279,1.610136631,1.59099113,1.558443778,1.518238226,1.613965731
4801,1.57284976,1.59159648,1.578473776,1.627215247,1.587847136,1.615967215,1.625340575,1.64033795,1.550353697,1.570975089,1.634713935,1.552228369,1.709700812,1.623465903,1.617841887,1.584097792,1.662834014,1.636588607,1.602844512,1.595345824,1.64971131,1.597220496,1.529732306,1.604719184,1.655335326,1.554103041,1.540980337,1.561601729,1.570975089,1.606593855
4901,1.647269761,1.605032075,1.529738808,1.549939441,1.526065966,1.5811586,1.546266599,1.586667864,1.489337543,1.625232708,1.62890555,1.621559865,1.606868496,1.590340706,1.56463081,1.579322179,1.555448704,1.50035607,1.570140073,1.597686391,1.54810302,1.522393124,1.493010386,1.51688386,1.577485758,1.610541339,1.538920914,1.511374597,1.579322179,1.630741971
5001,1.50454925,1.623329454,1.589135153,1.598133653,1.590934853,1.531544751,1.50454925,1.547742052,1.529745051,1.531544751,1.452357948,1.50454925,1.569338452,1.646725555,1.598133653,1.562139652,1.572937852,1.535144151,1.686318956,1.590934853,1.605332454,1.610731554,1.599933353,1.571138152,1.481153149,1.623329454,1.610731554,1.619730054,1.549541752,1.648525255
5101,1.559746167,1.441530112,1.57033268,1.635616173,1.697370829,1.610914311,1.524457793,1.651495942,1.550924074,1.632087336,1.607385473,1.580919192,1.579154774,1.607385473,1.642673848,1.688548736,1.685019898,1.554452911,1.674433386,1.621500823,1.572097099,1.565039424,1.561510586,1.59856338,1.566803842,1.623265242,1.573861517,1.52798663,1.57033268,1.602092217
